Elapsed (s),Time,nGen-400 Uptime,nGen-400 Hours,Anode PWM_Duty_Cycle,Anode Voltage,Anode Current,Getter PWM_Duty_Cycle,Getter Current,Neutron Counts,Neutron Count_Rate,Neutron Count_Rate_Avg,Neutron Count_Rate_Stdev_Pct,RF Freq_Synth,Suppressor Current,Suppressor Voltage,Pulsing Rep_Rate,Pulsing Duty_Cycle,Pulsing Ext_Trig_Select,Calculations Current_Ratio,Faults Anode_Voltage_Too_High,Faults Arc_dI_dt,Faults Arc_I,Faults Blinkout,Faults E_Beam_Power_Too_High,Faults Interlock,Faults Suppressor_Voltage_Too_Low,State_Machine State,State_Machine Source,State_Machine Destination,State_Machine Fault
0.0,03-Apr-26 11:55:14,7420,101.2,0,0.7004,0.04265,0,0.002719,0,0,0,100,16.28,0.002498,0.01903,1,1,0,0,1,0,1,-1,1,0,4,2.25,2,4,[ OK ]
1.6,03-Apr-26 11:55:16,7422,101.2,0,0.9073,0.04166,0.2763,0.3437,0,0,0,100,16.28,0.002699,0,1,1,0,0,1,0,1,-1,1,0,4,3,2,4,[ OK ]
2.9,03-Apr-26 11:55:17,7423,101.2,0,0.971,0.04106,0.3547,0.7979,0,0,0,100,16.28,0.002256,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,4,[ OK ]
4.3,03-Apr-26 11:55:18,7424,101.2,0,0.9073,0.03868,0.4039,1.071,0,0,0,100,16.28,0.002377,0,1,1,0,0,1,0,1,-1,1,0,4,3.105,3,4,[ OK ]
5.6,03-Apr-26 11:55:20,7426,101.2,0,1.178,0.04215,0.4353,1.247,0,0,0,100,16.28,0.1954,404.5,1,1,0,0,1,0,1,-1,1,0,1,3.211,3,4,[ OK ]
7.1,03-Apr-26 11:55:21,7427,101.2,0,0.5094,0.04662,0.4558,1.359,0,0,0,100,16.28,0.1963,404.1,200,1,0,0,1,0,1,-1,1,0,1,3.368,3,4,[ OK ]
8.6,03-Apr-26 11:55:23,7429,101.2,0,1.242,0.04225,0.4692,1.427,0,0,0,100,16.28,0.1988,404.2,200,1,0,0,1,0,1,-1,1,0,1,3.526,3,4,[ OK ]
10.1,03-Apr-26 11:55:24,7430,101.2,0.02883,11.91,0.07697,0.4768,1.471,0,0,0,100,16.28,0.2032,404.2,200,1,0,-1,1,0,1,-1,1,1,1,3.632,3,4,[ OK ]
11.5,03-Apr-26 11:55:26,7432,101.2,0.03701,26.65,0.0616,0.5705,1.966,0,0,0,100,16.28,0.2033,404.3,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
12.9,03-Apr-26 11:55:27,7433,101.2,0.04232,36.55,0.05793,0.6385,2.3,0,0,0,100,16.28,0.2017,404.7,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
