Elapsed (s),Time,nGen-400 Uptime,nGen-400 Hours,Anode PWM_Duty_Cycle,Anode Voltage,Anode Current,Getter PWM_Duty_Cycle,Getter Current,Neutron Counts,Neutron Count_Rate,Neutron Count_Rate_Avg,Neutron Count_Rate_Stdev_Pct,RF Freq_Synth,Suppressor Current,Suppressor Voltage,Pulsing Rep_Rate,Pulsing Duty_Cycle,Pulsing Ext_Trig_Select,Calculations Current_Ratio,Faults Anode_Voltage_Too_High,Faults Arc_dI_dt,Faults Arc_I,Faults Blinkout,Faults E_Beam_Power_Too_High,Faults Interlock,Faults Suppressor_Voltage_Too_Low,State_Machine State,State_Machine Source,State_Machine Destination,State_Machine Fault
0.0,4/21/2026 12:01:43 PM,1645,110.4,0,0.9391,0.04156,0,0.004935,0,0,0,100,16.28,0.003384,0.2284,1,1,0,0,1,0,1,-1,1,0,4,2.25,2,3,[ OK ]
1.4,4/21/2026 12:01:45 PM,1646,110.4,0,1.464,0.04215,0.257,0.2507,0,0,0,100,16.28,0.00141,0.1523,1,1,0,0,1,0,1,-1,1,0,4,3,2,3,[ OK ]
2.8,4/21/2026 12:01:46 PM,1648,110.4,0,1.003,0.04582,0.3569,0.8111,0,0,0,100,16.28,0.002457,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
3.8,4/21/2026 12:01:47 PM,1649,110.4,0,0.9391,0.03957,0.4097,1.103,0,0,0,100,16.28,0.002739,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
4.2,4/21/2026 12:01:48 PM,1650,110.4,0,0.9551,0.04503,0.4202,1.157,0,0,0,100,16.28,0.002578,0.1523,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
4.7,4/21/2026 12:01:48 PM,1650,110.4,0,1.066,0.04176,0.4296,1.201,0,0,0,100,16.28,0.003223,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
5.0,4/21/2026 12:01:48 PM,1650,110.4,0,0.9551,0.04007,0.435,1.238,0,0,0,100,16.28,0.00286,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
5.3,4/21/2026 12:01:49 PM,1651,110.4,0,0.9869,0.04156,0.4408,1.259,0,0,0,100,16.28,0.003666,0.006345,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
5.6,4/21/2026 12:01:49 PM,1651,110.4,0,0.9551,0.03858,0.4445,1.299,0,0,0,100,16.28,0.002659,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
5.9,4/21/2026 12:01:49 PM,1651,110.4,0,0.8436,0.04245,0.4499,1.309,0,0,0,100,16.28,0.00286,0.0571,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
