Elapsed (s),Time,nGen-400 Uptime,nGen-400 Hours,Anode PWM_Duty_Cycle,Anode Voltage,Anode Current,Getter PWM_Duty_Cycle,Getter Current,Neutron Counts,Neutron Count_Rate,Neutron Count_Rate_Avg,Neutron Count_Rate_Stdev_Pct,RF Freq_Synth,Suppressor Current,Suppressor Voltage,Pulsing Rep_Rate,Pulsing Duty_Cycle,Pulsing Ext_Trig_Select,Calculations Current_Ratio,Faults Anode_Voltage_Too_High,Faults Arc_dI_dt,Faults Arc_I,Faults Blinkout,Faults E_Beam_Power_Too_High,Faults Interlock,Faults Suppressor_Voltage_Too_Low,State_Machine State,State_Machine Source,State_Machine Destination,State_Machine Fault
0.0,4/3/2026 12:56:16 PM,414.4,101.7,0,0.764,0.04116,0,0.001611,0,0,0,100,16.28,0.002296,0.03172,1,1,0,0,1,0,1,-1,1,0,4,2.25,2,4,[ OK ]
1.0,4/3/2026 12:56:17 PM,415.4,101.7,0,1.019,0.04453,0.2325,0.1031,0,0,0,100,16.28,0.00278,0,1,1,0,0,1,0,1,-1,1,0,4,3,2,4,[ OK ]
2.0,4/3/2026 12:56:18 PM,416.4,101.7,0,0.5094,0.04533,0.3086,0.5414,0,0,0,100,16.28,0.002578,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,4,[ OK ]
3.0,4/3/2026 12:56:19 PM,417.4,101.7,0,0.7481,0.04225,0.3617,0.8411,0,0,0,100,16.28,0.00145,0.0571,1,1,0,0,1,0,1,-1,1,0,4,3.105,3,4,[ OK ]
4.0,4/3/2026 12:56:20 PM,418.4,101.7,0,1.019,0.04215,0.4005,1.049,0,0,0,100,16.28,0.2121,404.5,1,1,0,0,1,0,1,-1,1,3,1,3.211,3,4,Interlock
5.0,4/3/2026 12:56:21 PM,419.4,101.7,0,0.764,0.03868,0.4268,1.192,0,0,0,100,16.28,0.2111,404.5,1,1,0,0,1,0,1,-1,1,0,1,4,4,1,Interlock
6.1,4/3/2026 12:56:22 PM,420.5,101.7,0,1.066,0.04186,0.4454,1.303,0,0,0,100,16.28,0.2107,404.3,1,1,0,0,1,0,1,-1,1,0,1,3.75,4,1,Interlock
7.1,4/3/2026 12:56:23 PM,421.5,101.7,0,0.9232,0.04225,0.4594,1.362,0,0,0,100,16.28,0.2119,404.5,1,1,0,0,1,0,1,-1,1,0,1,3.375,4,1,Interlock
8.2,4/3/2026 12:56:24 PM,422.5,101.7,0,1.178,0.03818,0.4688,1.415,0,0,0,100,16.28,0.00141,4.188,1,0,0,0,1,0,1,-1,1,0,2.271,3,4,1,Interlock
9.2,4/3/2026 12:56:25 PM,423.6,101.7,0,0.78,0.04265,0,0.002618,0,0,0,100,16.28,0.0029,0.4441,1,0,0,0,1,0,1,-1,1,0,3,2,3,1,Interlock
315.4,4/3/2026 1:01:32 PM,729.8,101.7,0,1.082,0.04344,0,0.00846,0,0,0,100,16.28,0.003545,0,2.122E-314,0,0,0,1,0,1,-1,1,0,4,2.25,2,4,[ OK ]
316.6,4/3/2026 1:01:33 PM,731,101.7,0,0.6208,0.03858,0.2234,0.06033,0,0,0,100,16.28,0.001289,0,2.122E-314,0,0,0,1,0,1,-1,1,0,4,3,2,4,[ OK ]
317.8,4/3/2026 1:01:34 PM,732.2,101.7,0,0.9391,0.04156,0.3179,0.5834,0,0,0,100,16.28,0.003223,0,2.122E-314,0,0,0,1,0,1,-1,1,0,4,3,3,4,[ OK ]
319.1,4/3/2026 1:01:35 PM,733.4,101.7,0,0.8914,0.03868,0.3767,0.9281,0,0,0,100,16.28,0.003706,0.006345,2.122E-314,0,0,0,1,0,1,-1,1,0,4,3.105,3,4,[ OK ]
320.4,4/3/2026 1:01:37 PM,734.7,101.7,0,1.449,0.03928,0.4173,1.142,0,0,0,100,16.28,0.2129,404.2,2.122E-314,0,0,0,1,0,1,-1,1,3,1,3.211,3,4,Interlock
321.5,4/3/2026 1:01:38 PM,736,101.7,0,1.464,0.04136,0.4425,1.27,0,0,0,100,16.28,0.2111,404.3,2.122E-314,0,0,0,1,0,1,-1,1,0,1,4,4,1,Interlock
